title,url
Fukaku ni mo Kyun to Kita,https://mangalivre.net/manga/fukaku-ni-mo-kyun-to-kita/11923
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",https://mangalivre.net/manga/gate-jieitai-kanochi-nite-kaku-tatakaeri/2757
Quanzhi Fashi,https://mangalivre.net/manga/quanzhi-fashi/7407
The Lady's Spaceship,https://mangalivre.net/manga/the-ladys-spaceship/10724
Vicarious Lover,https://mangalivre.net/manga/vicarious-lover/13646
High School Taoist,https://mangalivre.net/manga/high-school-taoist/9971
Queen Cecia's Shorts,https://mangalivre.net/manga/queen-cecias-shorts/9802
No Game No Life Part 2: Eastern Union Arc,https://mangalivre.net/manga/no-game-no-life-part-2-eastern-union-arc/14359
Level Up in the Mirror,https://mangalivre.net/manga/level-up-in-the-mirror/14360
Yeonwoo's Innocence,https://mangalivre.net/manga/yeonwoos-innocence/11565
It Was All You,https://mangalivre.net/manga/it-was-all-you/12629
Volcanic Return,https://mangalivre.net/manga/volcanic-return/12309
Legend of the Northern Blade,https://mangalivre.net/manga/legend-of-the-northern-blade/10298
It's Hard to Mix in With Demons,https://mangalivre.net/manga/its-hard-to-mix-in-with-demons/13095
Cultivator Against Hero Society,https://mangalivre.net/manga/cultivator-against-hero-society/10108
990K Ex-Life Hunter,https://mangalivre.net/manga/990k-ex-life-hunter/12780
"Makentsukai no Moto Shounenhei wa, Moto Tekikanbu no Oneesan to Issho ni Ikitai",https://mangalivre.net/manga/makentsukai-no-moto-shounenhei-wa-moto-tekikanbu-no-oneesan-to-issho-ni-ikitai/13949
The King of Fantasy: Yagami Iori no Isekai Musou,https://mangalivre.net/manga/the-king-of-fantasy-yagami-iori-no-isekai-musou/9033
Duke Pendragon,https://mangalivre.net/manga/duke-pendragon/14365
Ore no Ie ga Maryoku Spot Datta Ken: Sundeiru dake de Sekai Saikyou,https://mangalivre.net/manga/ore-no-ie-ga-maryoku-spot-datta-ken-sundeiru-dake-de-sekai-saikyou/7943
Nageki no Bourei wa Intai shitai: Saijaku Hunter ni Yoru Saikyou Party Ikuseijutsu,https://mangalivre.net/manga/nageki-no-bourei-wa-intai-shitai-saijaku-hunter-ni-yoru-saikyou-party-ikuseijutsu/11736
Return of the Disaster-Class Hero,https://mangalivre.net/manga/return-of-the-disaster-class-hero/9850
The Strongest Player,https://mangalivre.net/manga/the-strongest-player/14019
Nightmare World,https://mangalivre.net/manga/nightmare-world/14077
The Otome Game’s Bad Ending,https://mangalivre.net/manga/the-otome-games-bad-ending/14213
Stepmother's Friends,https://mangalivre.net/manga/stepmothers-friends/9854
Nidome no Jinsei wo Isekai de,https://mangalivre.net/manga/nidome-no-jinsei-wo-isekai-de/4407
My Wife Is Back,https://mangalivre.net/manga/my-wife-is-back/12434
The Villain's Ending Is Death,https://mangalivre.net/manga/the-villains-ending-is-death/9739
Seeking the Flying Sword Path,https://mangalivre.net/manga/seeking-the-flying-sword-path/8095
The Twin Siblings’ New Life,https://mangalivre.net/manga/the-twin-siblings-new-life/10029
The Evil Sorceress Plans to Survive! (2021),https://mangalivre.net/manga/the-evil-sorceress-plans-to-survive-2021/12383
Kiichi!!,https://mangalivre.net/manga/kiichi/14142
Hajirau Kimi ga Mitainda,https://mangalivre.net/manga/hajirau-kimi-ga-mitainda/12156
Eternal God Emperor,https://mangalivre.net/manga/eternal-god-emperor/13676
Confidentiality and Security Act,https://mangalivre.net/manga/confidentiality-and-security-act/14121
Kono Kaisha ni Suki na Hito ga Imasu,https://mangalivre.net/manga/kono-kaisha-ni-suki-na-hito-ga-imasu/9942
Lucia,https://mangalivre.net/manga/lucia/8915
Joshikousei to Seishokusha-san,https://mangalivre.net/manga/joshikousei-to-seishokusha-san/10233
"Namete, Kajitte, Tokidoki Medete",https://mangalivre.net/manga/namete-kajitte-tokidoki-medete/8757
Immortal Devil Emperor,https://mangalivre.net/manga/immortal-devil-emperor/9526
My Girlfriend Is a Dragon,https://mangalivre.net/manga/my-girlfriend-is-a-dragon/10073
The Greatest in the World,https://mangalivre.net/manga/the-greatest-in-the-world/10892
Janbul Ui Gisa - The Knights of the Remaining Fire,https://mangalivre.net/manga/janbul-ui-gisa---the-knights-of-the-remaining-fire/12431
How to Fight,https://mangalivre.net/manga/how-to-fight/10486
Leviathan,https://mangalivre.net/manga/leviathan/8008
How to Fight,https://mangalivre.net/manga/how-to-fight/10486
Leviathan,https://mangalivre.net/manga/leviathan/8008
Hyouka,https://mangalivre.net/manga/hyouka/2759
Ni Tian Xie Shen - Against the Gods,https://mangalivre.net/manga/ni-tian-xie-shen---against-the-gods/6945
New Town,https://mangalivre.net/manga/new-town/13888
I Am a Child of This House,https://mangalivre.net/manga/i-am-a-child-of-this-house/8339
Lamia Orphe Is Dead,https://mangalivre.net/manga/lamia-orphe-is-dead/9412
Elysion Bride,https://mangalivre.net/manga/elysion-bride/11070
The Bad Ending of an Otome,https://mangalivre.net/manga/the-bad-ending-of-an-otome/14221
Heavenly Bride,https://mangalivre.net/manga/heavenly-bride/11631
Hell Mode: Yarikomi Suki no Gamer wa Hai-settei no Isekai de Musou suru - Hajimari no Shoukanshi,https://mangalivre.net/manga/hell-mode-yarikomi-suki-no-gamer-wa-hai-settei-no-isekai-de-musou-suru---hajimari-no-shoukanshi/14136
Heaven Guards,https://mangalivre.net/manga/heaven-guards/11233
Post-apocalyptic Dispatch Company,https://mangalivre.net/manga/post-apocalyptic-dispatch-company/11149
Shaman of Magnanimous Spirit,https://mangalivre.net/manga/shaman-of-magnanimous-spirit/11438
Isekai Majutsushi wa Mahou wo Tonaenai,https://mangalivre.net/manga/isekai-majutsushi-wa-mahou-wo-tonaenai/10770
Stop This Marriage,https://mangalivre.net/manga/stop-this-marriage/14339
"First, Let’s Hide My Younger Brother",https://mangalivre.net/manga/first-lets-hide-my-younger-brother/13392
The Build Up,https://mangalivre.net/manga/the-build-up/13207
Philia Rose - The Prophecy of the Crown of Thorns,https://mangalivre.net/manga/philia-rose---the-prophecy-of-the-crown-of-thorns/13971
Vigilante: Boku no Hero Academia Illegals,https://mangalivre.net/manga/vigilante-boku-no-hero-academia-illegals/4104
The Immortal Cultivation Game,https://mangalivre.net/manga/the-immortal-cultivation-game/14319
Zettai ni Hatarakitakunai Dungeon Master ga Damin wo Musaboru made,https://mangalivre.net/manga/zettai-ni-hatarakitakunai-dungeon-master-ga-damin-wo-musaboru-made/11340
IRIS - Lady with a Smartphone,https://mangalivre.net/manga/iris---lady-with-a-smartphone/8564
Yanagihara-kun wa Sex Izonshou,https://mangalivre.net/manga/yanagihara-kun-wa-sex-izonshou/13475
Oshi no Ko,https://mangalivre.net/manga/oshi-no-ko/9712
Shoukan sareta Kenja wa Isekai wo Iku: Saikyou nano wa Fuyou Zaiko no Item deshita,https://mangalivre.net/manga/shoukan-sareta-kenja-wa-isekai-wo-iku-saikyou-nano-wa-fuyou-zaiko-no-item-deshita/11410
Ousama Ranking,https://mangalivre.net/manga/ousama-ranking/13432
Tougen Anki,https://mangalivre.net/manga/tougen-anki/10255
The Great Mage Returns After 4000 Years,https://mangalivre.net/manga/the-great-mage-returns-after-4000-years/9735
Henjo: Hen na Joshikousei Amaguri Senko,https://mangalivre.net/manga/henjo-hen-na-joshikousei-amaguri-senko/5996
Holy Ancestor,https://mangalivre.net/manga/holy-ancestor/7955
Shenwu Tianzun,https://mangalivre.net/manga/shenwu-tianzun/9922
Silent Night,https://mangalivre.net/manga/silent-night/14116
"One Day, Suddenly, Seoul Is",https://mangalivre.net/manga/one-day-suddenly-seoul-is/13296
Bleach (Edição Colorida),https://mangalivre.net/manga/bleach-edicao-colorida/12470
Cheng Ye Xiao He - To Be Winner,https://mangalivre.net/manga/cheng-ye-xiao-he---to-be-winner/9694
Cinderella wa Sagasanai.,https://mangalivre.net/manga/cinderella-wa-sagasanai-/11527
Otome Game no Hametsu Flag shika nai Akuyaku Reijou ni Tensei shite shimatta... (Webtoon),https://mangalivre.net/manga/otome-game-no-hametsu-flag-shika-nai-akuyaku-reijou-ni-tensei-shite-shimatta-webtoon/10611
The Evil Cinderella Needs a Villain,https://mangalivre.net/manga/the-evil-cinderella-needs-a-villain/9656
Jian Jin de Xintiao - Asymptotic Heartbeat,https://mangalivre.net/manga/jian-jin-de-xintiao---asymptotic-heartbeat/9634
I Raised a Black Dragon,https://mangalivre.net/manga/i-raised-a-black-dragon/14127
Limit Breaker,https://mangalivre.net/manga/limit-breaker/11298
Haikei... Koroshiya-san to Kekkon Shimashita,https://mangalivre.net/manga/haikei-koroshiya-san-to-kekkon-shimashita/9115
Kimi to Tsuzuru Utakata,https://mangalivre.net/manga/kimi-to-tsuzuru-utakata/10951
My Wife Is Actually The Empress?,https://mangalivre.net/manga/my-wife-is-actually-the-empress/12122
Jungle Taitei,https://mangalivre.net/manga/jungle-taitei/14294
Reencarnação do Vampiro,https://mangalivre.net/manga/reencarnacao-do-vampiro/13588
Take a Peek,https://mangalivre.net/manga/take-a-peek/12049
"Saijo no Osewa: Takane no Hanadarake na Meimonkou de, Gakuin Ichi no Ojousama (Seikatsu Nouryoku Kaimu) wo Kagenagara Osewa suru Koto ni Narimashita",https://mangalivre.net/manga/saijo-no-osewa-takane-no-hanadarake-na-meimonkou-de-gakuin-ichi-no-ojousama-seikatsu-nouryoku-kaimu-wo-kagenagara-osewa-suru-koto-ni-narimashita/13279
Red Romance,https://mangalivre.net/manga/red-romance/13847
Jeon Wangjeongi - Memoir of the God of War,https://mangalivre.net/manga/jeon-wangjeongi---memoir-of-the-god-of-war/12833
I Killed Him,https://mangalivre.net/manga/i-killed-him/13995
Kimi ni wa Todokanai.,https://mangalivre.net/manga/kimi-ni-wa-todokanai-/11730
My In-Laws Are Obsessed With Me,https://mangalivre.net/manga/my-in-laws-are-obsessed-with-me/14161
The Prince of Myolyeong,https://mangalivre.net/manga/the-prince-of-myolyeong/14115
Italiajin no Onnanoko ga Isourou Suru Koto ni Natta,https://mangalivre.net/manga/italiajin-no-onnanoko-ga-isourou-suru-koto-ni-natta/10258
How to Use Men,https://mangalivre.net/manga/how-to-use-men/14265
Peach Sorbet,https://mangalivre.net/manga/peach-sorbet/14266
Jigoku no Gouka de Yakare Tsuzuketa Shounen. Saikyou no Honootsukai to Natte Fukkatsu suru.,https://mangalivre.net/manga/jigoku-no-gouka-de-yakare-tsuzuketa-shounen-saikyou-no-honootsukai-to-natte-fukkatsu-suru-/11632
Okaeri Kudasai Succubus-san,https://mangalivre.net/manga/okaeri-kudasai-succubus-san/14246
Okaeri Kudasai Succubus-san,https://mangalivre.net/manga/okaeri-kudasai-succubus-san/14246
Minha Seita,https://mangalivre.net/manga/minha-seita/14240
